,proteinName,geneName,synonyms,geneID,geneENS
Q86UW8,Hyaluronan and proteoglycan link protein 4,HAPLN4,"['BRAL2', 'KIAA1926']",404037,ENSG00000187664
Q86UW9,Probable E3 ubiquitin-protein ligase DTX2,DTX2,"['KIAA1528', 'RNF58']",113878,ENSG00000091073
Q86UX2,Inter-alpha-trypsin inhibitor heavy chain H5,ITIH5,['KIAA1953'],80760,
Q86UX6,Serine/threonine-protein kinase 32C,STK32C,['YANK3'],282974,ENSG00000165752
Q86UX7,Fermitin family homolog 3,FERMT3,"['KIND3', 'MIG2B', 'URP2']",83706,ENSG00000149781
Q86UY5,Protein FAM83A,FAM83A,['TSGP'],84985,ENSG00000147689
Q86UY8,5'-nucleotidase domain-containing protein 3,NT5DC3,"['GNN', 'TU12B1-TY']",51559,ENSG00000111696
Q86UZ6,Zinc finger and BTB domain-containing protein 46,ZBTB46,"['BTBD4', 'ZNF340']",140685,ENSG00000130584
Q86V15,Zinc finger protein castor homolog 1,CASZ1,"['CST', 'SRG', 'ZNF693']",54897,ENSG00000130940
Q86V20,Shieldin complex subunit 2,SHLD2,"['FAM35A', 'RINN2']",54537,ENSG00000122376
Q86V24,Adiponectin receptor protein 2,ADIPOR2,['PAQR2'],79602,ENSG00000285070
Q86V25,Tubulinyl-Tyr carboxypeptidase 2,VASH2,['VASHL'],79805,ENSG00000143494
Q86V35,Calcium-binding protein 7,CABP7,['CALN2'],164633,ENSG00000100314
Q86V40,Metalloprotease TIKI1,TRABD2A,"['C2orf89', 'TIKI1']",129293,ENSG00000186854
Q86V42,Protein FAM124A,FAM124A,[],220108,ENSG00000150510
Q86V48,Leucine zipper protein 1,LUZP1,[],7798,ENSG00000169641
Q86V59,Paraneoplastic antigen-like protein 8A,PNMA8A,['PNMAL1'],55228,ENSG00000182013
Q86V71,Zinc finger protein 429,ZNF429,[],353088,ENSG00000197013
Q86V81,THO complex subunit 4,ALYREF,"['ALY', 'BEF', 'THOC4']",10189,
Q86V85,Integral membrane protein GPR180,GPR180,['ITR'],160897,ENSG00000152749
Q86V86,Serine/threonine-protein kinase pim-3,PIM3,[],415116,ENSG00000198355
Q86V87,FHF complex subunit HOOK interacting protein 2B,FHIP2B,"['FAM160B2', 'RAI16']",64760,ENSG00000158863
Q86V97,Kelch repeat and BTB domain-containing protein 6,KBTBD6,[],89890,ENSG00000165572
Q86VB7,Scavenger receptor cysteine-rich type 1 protein M130,CD163,['M130'],9332,ENSG00000177575
Q86VD1,MORC family CW-type zinc finger protein 1,MORC1,['MORC'],27136,ENSG00000114487
Q86VD9,GPI mannosyltransferase 4,PIGZ,['SMP3'],80235,ENSG00000119227
Q86VE0,"Myb-related transcription factor, partner of profilin",MYPOP,['P42POP'],339344,ENSG00000176182
Q86VE3,Spermidine/spermine N(1)-acetyltransferase-like protein 1,SATL1,[],340562,ENSG00000184788
Q86VE9,Serine incorporator 5,SERINC5,['C5orf12'],256987,ENSG00000164300
Q86VF2,Immunoglobulin-like and fibronectin type III domain-containing protein 1,IGFN1,"['EEF1A2BP1', 'KYIP1']",91156,ENSG00000163395
Q86VF7,Nebulin-related-anchoring protein,NRAP,[],4892,ENSG00000197893
Q86VG3,Intraflagellar transport-associated protein,IFTAP,"['C11orf74', 'NWC']",119710,ENSG00000166352
Q86VH2,Kinesin-like protein KIF27,KIF27,[],55582,ENSG00000165115
Q86VH4,Leucine-rich repeat transmembrane neuronal protein 4,LRRTM4,[],80059,ENSG00000176204
Q86VH5,Leucine-rich repeat transmembrane neuronal protein 3,LRRTM3,[],347731,ENSG00000198739
Q86VI1,Exocyst complex component 3-like protein,EXOC3L1,['EXOC3L'],283849,ENSG00000179044
Q86VI3,Ras GTPase-activating-like protein IQGAP3,IQGAP3,[],128239,ENSG00000183856
Q86VI4,Lysosomal-associated transmembrane protein 4B,LAPTM4B,[],55353,ENSG00000104341
Q86VK4,Zinc finger protein 410,ZNF410,['APA1'],57862,ENSG00000119725
Q86VL8,Multidrug and toxin extrusion protein 2,SLC47A2,['MATE2'],146802,ENSG00000180638
Q86VM9,Zinc finger CCCH domain-containing protein 18,ZC3H18,['NHN1'],124245,ENSG00000158545
Q86VN1,Vacuolar protein-sorting-associated protein 36,VPS36,"['C13orf9', 'EAP45']",51028,ENSG00000136100
Q86VP1,Tax1-binding protein 1,TAX1BP1,['T6BP'],8887,ENSG00000106052
Q86VP3,Phosphofurin acidic cluster sorting protein 2,PACS2,"['KIAA0602', 'PACS1L']",23241,ENSG00000179364
Q86VP6,Cullin-associated NEDD8-dissociated protein 1,CAND1,"['KIAA0829', 'TIP120', 'TIP120A']",55832,ENSG00000111530
Q86VQ0,Lebercilin,LCA5,['C6orf152'],167691,ENSG00000135338
Q86VQ1,Glucocorticoid-induced transcript 1 protein,GLCCI1,[],113263,ENSG00000106415
Q86VQ3,Thioredoxin domain-containing protein 2,TXNDC2,"['SPTRX', 'SPTRX1']",84203,ENSG00000168454
Q86VR2,Reticulophagy regulator 3,RETREG3,['FAM134C'],162427,ENSG00000141699
Q86VR7,V-set and immunoglobulin domain-containing protein 10-like,VSIG10L,[],147645,ENSG00000186806
Q86VR8,Four-jointed box protein 1,FJX1,[],24147,ENSG00000179431
Q86VS3,IQ domain-containing protein H,IQCH,[],64799,ENSG00000103599
Q86VS8,Protein Hook homolog 3,HOOK3,[],84376,ENSG00000168172
Q86VU5,Catechol O-methyltransferase domain-containing protein 1,COMTD1,[],118881,ENSG00000165644
Q86VV4,Ran-binding protein 3-like,RANBP3L,[],202151,ENSG00000164188
Q86VV8,Rotatin,RTTN,[],25914,ENSG00000176225
Q86VW0,SEC14 domain and spectrin repeat-containing protein 1,SESTD1,['SOLO'],91404,ENSG00000187231
Q86VW1,Solute carrier family 22 member 16,SLC22A16,['OCT6'],85413,ENSG00000004809
Q86VW2,Rho guanine nucleotide exchange factor 25,ARHGEF25,['GEFT'],115557,ENSG00000240771
Q86VX9,Vacuolar fusion protein MON1 homolog A,MON1A,['SAND1'],84315,ENSG00000164077
Q86VY4,Testis-specific Y-encoded-like protein 5,TSPYL5,['KIAA1750'],85453,ENSG00000180543
Q86VY9,Transmembrane protein 200A,TMEM200A,['KIAA1913'],114801,ENSG00000164484
Q86VZ1,P2Y purinoceptor 8,P2RY8,[],286530,ENSG00000182162
Q86VZ4,Low-density lipoprotein receptor-related protein 11,LRP11,[],84918,ENSG00000120256
Q86VZ5,Phosphatidylcholine:ceramide cholinephosphotransferase 1,SGMS1,"['MOB', 'SMS1', 'TMEM23']",259230,ENSG00000198964
Q86VZ6,Juxtaposed with another zinc finger protein 1,JAZF1,"['TIP27', 'ZNF802']",221895,ENSG00000153814
Q86W11,Zinc finger and SCAN domain-containing protein 30,ZSCAN30,['ZNF397OS'],100101467,ENSG00000186814
Q86W24,"NACHT, LRR and PYD domains-containing protein 14",NLRP14,"['NALP14', 'NOD5']",338323,ENSG00000158077
Q86W25,"NACHT, LRR and PYD domains-containing protein 13",NLRP13,"['NALP13', 'NOD14']",126204,ENSG00000173572
Q86W26,"NACHT, LRR and PYD domains-containing protein 10",NLRP10,"['NALP10', 'NOD8', 'PYNOD']",338322,ENSG00000182261
Q86W28,"NACHT, LRR and PYD domains-containing protein 8",NLRP8,"['NALP8', 'NOD16', 'PAN4']",126205,ENSG00000179709
Q86W33,Transmembrane protein adipocyte-associated 1,TPRA1,"['GPR175', 'TMEM227']",131601,ENSG00000163870
Q86W50,RNA N6-adenosine-methyltransferase METTL16,METTL16,['METT10D'],79066,ENSG00000127804
Q86W56,Poly(ADP-ribose) glycohydrolase,PARG,[],8505,ENSG00000227345
Q86W67,Protein FAM228A,FAM228A,['C2orf84'],653140,ENSG00000186453
Q86W74,Ankyrin repeat domain-containing protein 46,ANKRD46,[],157567,ENSG00000186106
Q86W92,Liprin-beta-1,PPFIBP1,['KIAA1230'],8496,ENSG00000110841
Q86WA6,Valacyclovir hydrolase,BPHL,['MCNAA'],670,ENSG00000137274
Q86WA8,"Lon protease homolog 2, peroxisomal",LONP2,['LONP'],83752,ENSG00000102910
Q86WA9,Sodium-independent sulfate anion transporter,SLC26A11,[],284129,ENSG00000181045
Q86WB0,Zinc finger C3HC-type protein 1,ZC3HC1,['NIPA'],51530,ENSG00000091732
Q86WC4,Osteopetrosis-associated transmembrane protein 1,OSTM1,['GL'],28962,ENSG00000081087
Q86WD7,Serpin A9,SERPINA9,"['GCET1', 'SERPINA11']",327657,ENSG00000170054
Q86WG3,Caytaxin,ATCAY,['KIAA1872'],85300,ENSG00000167654
Q86WG5,Myotubularin-related protein 13,SBF2,"['CMT4B2', 'KIAA1766', 'MTMR13']",81846,ENSG00000133812
Q86WH2,Ras association domain-containing protein 3,RASSF3,[],283349,ENSG00000153179
Q86WI1,Fibrocystin-L,PKHD1L1,[],93035,ENSG00000205038
Q86WI3,Protein NLRC5,NLRC5,"['NOD27', 'NOD4']",84166,ENSG00000140853
Q86WJ1,Chromodomain-helicase-DNA-binding protein 1-like,CHD1L,['ALC1'],9557,ENSG00000131778
Q86WK6,Amphoterin-induced protein 1,AMIGO1,"['ALI2', 'AMIGO', 'KIAA1163']",57463,ENSG00000181754
Q86WK7,Amphoterin-induced protein 3,AMIGO3,"['ALI3', 'KIAA1851']",386724,ENSG00000176020
Q86WN1,F-BAR and double SH3 domains protein 1,FCHSD1,[],89848,ENSG00000197948
Q86WP2,Vasculin,GPBP1,"['GPBP', 'SSH6']",65056,ENSG00000062194
Q86WR6,CHD1 helical C-terminal domain containing protein 1,CHCT1,['C17orf64'],124773,ENSG00000141371
Q86WR7,Proline and serine-rich protein 2,PROSER2,['C10orf47'],254427,ENSG00000148426
Q86WS3,Oocyte-secreted protein 2,OOSP2,"['PLAC1L', 'TMEM122']",219990,ENSG00000285422
Q86WS4,Uncharacterized protein C12orf40,C12orf40,[],283461,ENSG00000180116
Q86WS5,Transmembrane protease serine 12,TMPRSS12,[],283471,ENSG00000186452
Q86WT6,E3 ubiquitin-protein ligase TRIM69,TRIM69,['RNF36'],140691,ENSG00000278211
Q86WU2,"Probable D-lactate dehydrogenase, mitochondrial",LDHD,[],197257,ENSG00000166816
Q86WV1,Src kinase-associated phosphoprotein 1,SKAP1,"['SCAP1', 'SKAP55']",8631,ENSG00000141293
Q86WV6,Stimulator of interferon genes protein,STING1,"['ERIS', 'MITA', 'STING', 'TMEM173']",340061,ENSG00000288243
Q86WX3,Active regulator of SIRT1,RPS19BP1,['AROS'],91582,ENSG00000187051
Q86WZ0,HEAT repeat-containing protein 4,HEATR4,[],399671,ENSG00000187105
Q86WZ6,Zinc finger protein 227,ZNF227,[],7770,ENSG00000131115
Q86X02,Cerebellar degeneration-related protein 2-like,CDR2L,['HUMPPA'],30850,ENSG00000109089
Q86X10,Ral GTPase-activating protein subunit beta,RALGAPB,['KIAA1219'],57148,ENSG00000170471
Q86X19,Transmembrane protein 17,TMEM17,[],200728,ENSG00000186889
Q86X24,HORMA domain-containing protein 1,HORMAD1,['NOHMA'],84072,ENSG00000143452
Q86X27,Ras-specific guanine nucleotide-releasing factor RalGPS2,RALGPS2,[],55103,ENSG00000116191
Q86X29,Lipolysis-stimulated lipoprotein receptor,LSR,"['ILDR3', 'LISCH']",51599,ENSG00000105699
Q86X45,Dynein axonemal assembly factor 11,DNAAF11,"['LRRC6', 'LRTP', 'TSLRP']",23639,ENSG00000129295
Q86X51,EZH inhibitory protein,EZHIP,['CXorf67'],340602,ENSG00000187690
Q86X52,Chondroitin sulfate synthase 1,CHSY1,"['CHSY', 'CSS1', 'KIAA0990']",22856,ENSG00000131873
Q86X53,Glutamate-rich protein 1,ERICH1,[],157697,ENSG00000104714
Q86X55,Histone-arginine methyltransferase CARM1,CARM1,['PRMT4'],10498,ENSG00000142453
Q86X59,Putative uncharacterized protein LINC02875,LINC02875,['C17orf82'],,
Q86X76,Deaminated glutathione amidase,NIT1,[],4817,ENSG00000158793
Q86X95,Corepressor interacting with RBPJ 1,CIR1,['CIR'],9541,ENSG00000138433
Q86XA9,HEAT repeat-containing protein 5A,HEATR5A,"['C14orf125', 'KIAA1316']",25938,ENSG00000129493
Q86XD5,Protein FAM131B,FAM131B,['KIAA0773'],9715,ENSG00000159784
Q86XD8,AN1-type zinc finger protein 4,ZFAND4,['ANUBL1'],93550,ENSG00000172671
Q86XE3,"Calcium uptake protein 3, mitochondrial",MICU3,['EFHA2'],286097,ENSG00000155970
Q86XE5,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1,"['C10orf65', 'DHDPSL']",112817,ENSG00000241935
Q86XF7,Zinc finger protein 575,ZNF575,[],284346,ENSG00000176472
Q86XG9,Putative neuroblastoma breakpoint family member 5,NBPF5P,['NBPF5'],,
Q86XH1,Dynein regulatory complex protein 11,IQCA1,"['DRC11', 'IQCA']",79781,ENSG00000132321
Q86XI2,Condensin-2 complex subunit G2,NCAPG2,['LUZP5'],54892,ENSG00000146918
Q86XI6,Protein phosphatase 1 regulatory subunit 3B,PPP1R3B,['PPP1R4'],79660,ENSG00000285343
Q86XI8,Uncharacterized protein ZSWIM9,ZSWIM9,['C19orf68'],374920,ENSG00000185453
Q86XJ0,Calcium homeostasis modulator protein 3,CALHM3,['FAM26A'],119395,ENSG00000183128
Q86XJ1,GAS2-like protein 3,GAS2L3,[],283431,ENSG00000139354
Q86XK2,F-box only protein 11,FBXO11,"['FBX11', 'PRMT9', 'VIT1']",80204,ENSG00000138081
Q86XK3,Swi5-dependent recombination DNA repair protein 1 homolog,SFR1,"['C10orf78', 'MEI5', 'MEIR5']",119392,ENSG00000156384
Q86XK7,V-set and immunoglobulin domain-containing protein 1,VSIG1,['GPA34'],340547,ENSG00000101842
Q86XL3,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,"['KIAA0692', 'LEM4']",23141,ENSG00000176915
Q86XM0,Cation channel sperm-associated auxiliary subunit delta,CATSPERD,['TMEM146'],257062,ENSG00000174898
Q86XN6,Zinc finger protein 761,ZNF761,['KIAA2033'],388561,ENSG00000160336
Q86XN7,Proline and serine-rich protein 1,PROSER1,"['C13orf23', 'KIAA2032']",80209,ENSG00000120685
Q86XN8,RNA-binding protein MEX3D,MEX3D,"['KIAA2031', 'RKHD1', 'RNF193']",399664,ENSG00000181588
Q86XP1,Diacylglycerol kinase eta,DGKH,[],160851,ENSG00000102780
Q86XP3,ATP-dependent RNA helicase DDX42,DDX42,[],11325,ENSG00000198231
Q86XQ3,Cation channel sperm-associated protein 3,CATSPER3,[],347732,ENSG00000152705
Q86XR2,Protein Niban 3,NIBAN3,"['BCNP1', 'FAM129C']",199786,ENSG00000167483
Q86XR5,Proline-rich membrane anchor 1,PRIMA1,[],145270,ENSG00000274089
Q86XR7,TIR domain-containing adapter molecule 2,TICAM2,"['TIRAP3', 'TIRP', 'TRAM']",353376,ENSG00000243414
Q86XR8,Centrosomal protein of 57 kDa,CEP57,"['KIAA0092', 'TSP57']",9702,ENSG00000166037
Q86XS5,Angiopoietin-related protein 5,ANGPTL5,[],253935,ENSG00000187151
Q86XS8,E3 ubiquitin-protein ligase RNF130,RNF130,[],55819,ENSG00000113269
Q86XT2,Vacuolar protein sorting-associated protein 37D,VPS37D,['WBSCR24'],155382,ENSG00000176428
Q86XT9,Insulin-like growth factor-binding protein 3 receptor,TMEM219,[],124446,ENSG00000149932
Q86XU0,Zinc finger protein 677,ZNF677,[],342926,ENSG00000197928
Q86XW9,Thioredoxin domain-containing protein 6,NME9,"['TXL2', 'TXNDC6']",347736,ENSG00000181322
Q86XX4,Extracellular matrix organizing protein FRAS1,FRAS1,['KIAA1500'],80144,ENSG00000138759
Q86XZ4,Spermatogenesis-associated serine-rich protein 2,SPATS2,"['SCR59', 'SPATA10']",65244,ENSG00000123352
Q86Y01,E3 ubiquitin-protein ligase DTX1,DTX1,[],1840,ENSG00000135144
Q86Y07,Serine/threonine-protein kinase VRK2,VRK2,[],7444,ENSG00000028116
Q86Y13,E3 ubiquitin-protein ligase DZIP3,DZIP3,['KIAA0675'],9666,ENSG00000198919
Q86Y22,Collagen alpha-1(XXIII) chain,COL23A1,[],91522,ENSG00000050767
Q86Y25,Zinc finger protein 354C,ZNF354C,['KID3'],30832,ENSG00000177932
Q86Y26,NUT family member 1,NUTM1,"['C15orf55', 'NUT']",256646,ENSG00000184507
Q86Y27,B melanoma antigen 5,BAGE5,[],85316,
Q86Y28,B melanoma antigen 4,BAGE4,['MLL3P'],85317,
Q86Y29,B melanoma antigen 3,BAGE3,[],85318,
Q86Y30,B melanoma antigen 2,BAGE2,[],,
Q86Y33,Cell division cycle protein 20 homolog B,CDC20B,[],166979,ENSG00000164287
Q86Y34,Adhesion G protein-coupled receptor G3,ADGRG3,"['GPR97', 'PGR26']",222487,ENSG00000182885
Q86Y37,CDK2-associated and cullin domain-containing protein 1,CACUL1,"['C10orf46', 'CAC1']",143384,ENSG00000151893
Q86Y38,Xylosyltransferase 1,XYLT1,['XT1'],64131,ENSG00000103489
Q86Y46,"Keratin, type II cytoskeletal 73",KRT73,"['K6IRS3', 'KB36', 'KRT6IRS3']",319101,ENSG00000186049
Q86Y82,Syntaxin-12,STX12,[],23673,ENSG00000117758
Q86Y91,Kinesin-like protein KIF18B,KIF18B,[],146909,ENSG00000186185
Q86Y97,Histone-lysine N-methyltransferase KMT5C,KMT5C,['SUV420H2'],84787,ENSG00000133247
Q86YA3,Protein ZGRF1,ZGRF1,['C4orf21'],55345,ENSG00000138658
Q86YB8,ERO1-like protein beta,ERO1B,['ERO1LB'],56605,ENSG00000086619
Q86YC2,Partner and localizer of BRCA2,PALB2,['FANCN'],79728,ENSG00000083093
Q86YC3,Transforming growth factor beta activator LRRC33,NRROS,['LRRC33'],375387,ENSG00000174004
Q86YD1,Prostate tumor-overexpressed gene 1 protein,PTOV1,['ACID2'],53635,ENSG00000104960
Q86YD3,Transmembrane protein 25,TMEM25,[],84866,ENSG00000149582
Q86YD5,Low-density lipoprotein receptor class A domain-containing protein 3,LDLRAD3,['LRAD3'],143458,ENSG00000179241
Q86YD7,Protein FAM90A1,FAM90A1,[],55138,ENSG00000171847
Q86YE8,Zinc finger protein 573,ZNF573,[],126231,ENSG00000189144
Q86YF9,Cilium assembly protein DZIP1,DZIP1,"['DZIP', 'DZIP2', 'KIAA0996']",22873,ENSG00000134874
Q86YG4,5'-nucleotidase domain-containing protein 4,NT5DC4,[],,ENSG00000144130
Q86YH2,Zinc finger protein 280B,ZNF280B,"['SUHW2', 'ZNF279', 'ZNF632']",140883,ENSG00000275004
Q86YH6,All trans-polyprenyl-diphosphate synthase PDSS2,PDSS2,"['C6orf210', 'DLP1']",57107,ENSG00000164494
Q86YI8,PHD finger protein 13,PHF13,[],148479,ENSG00000116273
Q86YJ5,E3 ubiquitin-protein ligase MARCHF9,MARCHF9,"['MARCH9', 'RNF179']",92979,ENSG00000139266
Q86YJ7,Ankyrin repeat domain-containing protein 13B,ANKRD13B,[],124930,ENSG00000198720
Q86YL5,Testis development-related protein,TDRP,['C8orf42'],157695,ENSG00000180190
Q86YL7,Podoplanin,PDPN,['GP36'],10630,ENSG00000162493
Q86YM7,Homer protein homolog 1,HOMER1,['SYN47'],9456,ENSG00000152413
Q86YN6,Peroxisome proliferator-activated receptor gamma coactivator 1-beta,PPARGC1B,"['PERC', 'PGC1', 'PGC1B', 'PPARGC1']",133522,ENSG00000155846
Q86YP4,Transcriptional repressor p66-alpha,GATAD2A,[],54815,ENSG00000167491
Q86YQ2,Putative BPIFA4P protein,BPIFA4P,"['BASE', 'LATH']",,
Q86YR5,G-protein-signaling modulator 1,GPSM1,['AGS3'],26086,ENSG00000160360
Q86YR6,POTE ankyrin domain family member D,POTED,"['A26B3', 'ANKRD21', 'POTE']",317754,ENSG00000166351
Q86YR7,Probable guanine nucleotide exchange factor MCF2L2,MCF2L2,"['ARHGEF22', 'DRG', 'KIAA0861']",23101,ENSG00000053524
Q86YS3,Rab11 family-interacting protein 4,RAB11FIP4,"['ARFO2', 'KIAA1821']",84440,ENSG00000131242
Q86YS7,C2 domain-containing protein 5,C2CD5,"['CDP138', 'KIAA0528']",9847,ENSG00000111731
Q86YT5,Na(+)/citrate cotransporter,SLC13A5,['NACT'],284111,ENSG00000141485
Q86YT6,E3 ubiquitin-protein ligase MIB1,MIB1,"['DIP1', 'KIAA1323', 'ZZANK2']",57534,ENSG00000101752
Q86YT9,Junctional adhesion molecule-like,JAML,['AMICA1'],120425,ENSG00000160593
Q86YV0,RAS protein activator like-3,RASAL3,[],64926,ENSG00000105122
Q86YV5,Inactive tyrosine-protein kinase PRAG1,PRAG1,['SGK223'],157285,ENSG00000275342
Q86YV6,Myosin light chain kinase family member 4,MYLK4,['SGK085'],340156,ENSG00000145949
Q86YV9,BLOC-2 complex member HPS6,HPS6,[],79803,ENSG00000166189
Q86YW0,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1",PLCZ1,[],89869,ENSG00000139151
Q86YW5,Trem-like transcript 1 protein,TREML1,['TLT1'],340205,ENSG00000161911
Q86YW9,Mediator of RNA polymerase II transcription subunit 12-like protein,MED12L,"['KIAA1635', 'TNRC11L', 'TRALP', 'TRALPUSH']",116931,ENSG00000144893
Q86YZ3,Hornerin,HRNR,['S100A18'],388697,ENSG00000197915
Q86Z02,Homeodomain-interacting protein kinase 1,HIPK1,"['KIAA0630', 'MYAK', 'NBAK2']",204851,ENSG00000163349
Q86Z14,Beta-klotho,KLB,[],152831,ENSG00000134962
Q86Z20,Coiled-coil domain-containing protein 125,CCDC125,['KENAE'],202243,ENSG00000277868
Q86Z23,Complement C1q-like protein 4,C1QL4,['CTRP11'],338761,ENSG00000186897
Q8HWS3,DNA-binding protein RFX6,RFX6,['RFXDC1'],222546,ENSG00000185002
Q8IU54,Interferon lambda-1,IFNL1,"['IL29', 'ZCYTO21']",282618,ENSG00000182393
Q8IU57,Interferon lambda receptor 1,IFNLR1,"['IL28RA', 'LICR2']",163702,ENSG00000185436
Q8IU60,m7GpppN-mRNA hydrolase,DCP2,['NUDT20'],167227,ENSG00000172795
Q8IU68,Transmembrane channel-like protein 8,TMC8,"['EVER2', 'EVIN2']",147138,ENSG00000167895
Q8IU80,Transmembrane protease serine 6,TMPRSS6,[],164656,ENSG00000187045
Q8IU81,Interferon regulatory factor 2-binding protein 1,IRF2BP1,[],26145,ENSG00000170604
Q8IU85,Calcium/calmodulin-dependent protein kinase type 1D,CAMK1D,['CAMKID'],57118,ENSG00000183049
Q8IU89,Ceramide synthase 3,CERS3,['LASS3'],204219,ENSG00000154227
Q8IU99,Calcium homeostasis modulator protein 1,CALHM1,['FAM26C'],255022,ENSG00000185933
Q8IUA0,WAP four-disulfide core domain protein 8,WFDC8,"['C20orf170', 'WAP8']",90199,ENSG00000158901
Q8IUA7,ATP-binding cassette sub-family A member 9,ABCA9,[],10350,ENSG00000154258
Q8IUB2,WAP four-disulfide core domain protein 3,WFDC3,['WAP14'],140686,ENSG00000124116
Q8IUB5,WAP four-disulfide core domain protein 13,WFDC13,"['C20orf138', 'WAP13']",164237,ENSG00000168634
Q8IUB9,Keratin-associated protein 19-1,KRTAP19-1,"['KAP19.1', 'KRTAP19.1']",337882,ENSG00000184351
Q8IUC0,Keratin-associated protein 13-1,KRTAP13-1,"['KAP13.1', 'KRTAP13.1']",140258,ENSG00000198390
Q8IUC1,Keratin-associated protein 11-1,KRTAP11-1,"['KAP11.1', 'KRTAP11.1']",337880,ENSG00000182591
Q8IUC2,Keratin-associated protein 8-1,KRTAP8-1,"['KAP8.1', 'KRTAP8.1']",337879,ENSG00000183640
Q8IUC3,Keratin-associated protein 7-1,KRTAP7-1,"['KAP7.1', 'KRTAP7.1']",337878,ENSG00000274749
Q8IUC4,Rhophilin-2,RHPN2,[],85415,ENSG00000131941
Q8IUC6,TIR domain-containing adapter molecule 1,TICAM1,"['PRVTIRB', 'TRIF']",148022,ENSG00000127666
Q8IUC8,Polypeptide N-acetylgalactosaminyltransferase 13,GALNT13,['KIAA1918'],114805,ENSG00000144278
Q8IUD2,ELKS/Rab6-interacting/CAST family member 1,ERC1,"['ELKS', 'KIAA1081', 'RAB6IP2']",23085,ENSG00000082805
Q8IUD6,E3 ubiquitin-protein ligase RNF135,RNF135,[],84282,ENSG00000181481
Q8IUE0,Homeobox protein TGIF2LY,TGIF2LY,['TGIFLY'],90655,ENSG00000176679
Q8IUE1,Homeobox protein TGIF2LX,TGIF2LX,['TGIFLX'],90316,ENSG00000153779
Q8IUF1,Zinc-regulated GTPase metalloprotein activator 1B,ZNG1B,['CBWD2'],150472,ENSG00000136682
Q8IUF8,Ribosomal oxygenase 2,RIOX2,"['MDIG', 'MINA', 'MINA53', 'NO52']",84864,ENSG00000170854
Q8IUG5,Unconventional myosin-XVIIIb,MYO18B,[],84700,ENSG00000133454
Q8IUH2,Protein CREG2,CREG2,[],200407,ENSG00000175874
Q8IUH3,RNA-binding protein 45,RBM45,"['DRB1', 'DRBP1']",129831,ENSG00000155636
Q8IUH4,Palmitoyltransferase ZDHHC13,ZDHHC13,"['HIP14L', 'HIP3RP']",54503,ENSG00000177054
Q8IUH5,Palmitoyltransferase ZDHHC17,ZDHHC17,"['HIP14', 'HIP3', 'HYPH', 'KIAA0946']",23390,ENSG00000186908
Q8IUH8,Signal peptide peptidase-like 2C,SPPL2C,['IMP5'],162540,ENSG00000185294
Q8IUI4,Putative protein SNX29P2,SNX29P2,['RUNDC2C'],,
Q8IUK5,Plexin domain-containing protein 1,PLXDC1,"['TEM3', 'TEM7']",57125,ENSG00000161381
Q8IUK8,Cerebellin-2,CBLN2,[],147381,ENSG00000141668
Q8IUL8,Cartilage intermediate layer protein 2,CILP2,[],148113,ENSG00000160161
Q8IUM7,Neuronal PAS domain-containing protein 4,NPAS4,"['BHLHE79', 'NXF', 'PASD10']",266743,ENSG00000174576
Q8IUN9,C-type lectin domain family 10 member A,CLEC10A,"['CLECSF13', 'CLECSF14', 'HML']",10462,ENSG00000132514
Q8IUQ0,Clavesin-1,CLVS1,"['CRALBPL', 'RLBP1L1']",157807,ENSG00000177182
Q8IUQ4,E3 ubiquitin-protein ligase SIAH1,SIAH1,['HUMSIAH'],6477,ENSG00000196470
Q8IUR5,Protein O-mannosyl-transferase TMTC1,TMTC1,[],83857,ENSG00000133687
Q8IUR6,CREB3 regulatory factor,CREBRF,['C5orf41'],153222,ENSG00000164463
Q8IUW3,Spermatogenesis-associated protein 2-like protein,SPATA2L,['C16orf76'],124044,ENSG00000158792
Q8IUW5,RELT-like protein 1,RELL1,[],768211,ENSG00000181826
Q8IUX1,"Complex I assembly factor TMEM126B, mitochondrial",TMEM126B,[],55863,ENSG00000171204
Q8IUX7,Adipocyte enhancer-binding protein 1,AEBP1,['ACLP'],165,ENSG00000106624
Q8IUX8,Epidermal growth factor-like protein 6,EGFL6,['MAEG'],25975,ENSG00000198759
Q8IUY3,GRAM domain-containing protein 2A,GRAMD2A,['GRAMD2'],196996,ENSG00000175318
Q8IUZ0,Leucine-rich repeat-containing protein 49,LRRC49,['CSTPP2'],54839,ENSG00000137821
Q8IV01,Synaptotagmin-12,SYT12,[],91683,ENSG00000173227
Q8IV03,Leucine rich adaptor protein 1-like,LURAP1L,['C9orf150'],286343,ENSG00000153714
Q8IV04,Carabin,TBC1D10C,[],374403,ENSG00000175463
Q8IV13,Cyclin-J-like protein,CCNJL,[],79616,ENSG00000135083
Q8IV16,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,GPIHBP1,['HBP1'],338328,ENSG00000277494
Q8IV20,Purine nucleoside phosphorylase LACC1,LACC1,"['C13orf31', 'FAMIN']",144811,ENSG00000179630
Q8IV31,Transmembrane protein 139,TMEM139,[],135932,ENSG00000178826
